student_name,country,university_ranking_band,university_name,specialization,industry,company_name
James C. Peterson,Germany,300+,Berlin Regional University,Core CS,Tech,Meta
Helen U. Price,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Finance,General Corp
Raymond L. Jones,Germany,300+,Berlin Regional University,Core CS,Tech,Meta
Charles X. Scott,UK,100-300,Northern State University,AI/ML,Finance,General Corp
Jason A. Stewart,India,Top 100,Indian Institute of Advanced Technology,Data Science,Healthcare,AstraZeneca
Pamela L. Clark,India,100-300,Delhi Technology and Science,Cybersecurity,Consulting,PwC
Amy X. Johnson,USA,300+,Eastern Community College,Data Science,Tech,Microsoft
Sandra X. Ramirez,Germany,300+,Berlin Regional University,Data Science,Healthcare,Medtronic
Benjamin O. Reed,Canada,300+,Northern Community College,Core CS,Consulting,Capgemini
Timothy A. Bennett,Germany,100-300,Frankfurt Applied Science University,Core CS,Healthcare,Mayo Clinic
Michael Q. Taylor,USA,100-300,Western State University,AI/ML,Other,Educational Institution
Brandon Y. Adams,Germany,100-300,Frankfurt Applied Science University,Data Science,Finance,General Corp
Jonathan C. Long,UK,300+,Imperial Higher Learning Center,Cloud,Healthcare,Pfizer
Jennifer A. Ross,USA,100-300,Western State University,Data Science,Healthcare,UnitedHealth Group
Linda H. Edwards,India,300+,Technical Technology and Science,AI/ML,Finance,General Corp
Richard J. Sanchez,India,Top 100,Indian Institute of Advanced Technology,Cloud,Healthcare,Pfizer
Benjamin P. Myers,UK,100-300,Northern State University,Data Science,Consulting,Accenture
Margaret X. Martinez,India,300+,Technical Technology and Science,Cybersecurity,Consulting,PwC
Pamela A. Clark,UK,100-300,Northern State University,Data Science,Other,Non-Profit Org
Ananya C. Campbell,India,100-300,Delhi Technology and Science,Core CS,Healthcare,Merck
Raymond M. Ortiz,India,300+,Technical Technology and Science,Cybersecurity,Manufacturing,Siemens
Barbara Q. Green,Germany,Top 100,Technical Technical University of Excellence,Core CS,Healthcare,Novartis
Carol G. Cruz,USA,100-300,Western State University,Data Science,Consulting,BCG
Scott A. Smith,India,300+,Technical Technology and Science,Cloud,Other,Educational Institution
Thomas S. Jackson,USA,300+,Eastern Community College,Core CS,Healthcare,Johnson & Johnson
Stephen V. Chavez,USA,300+,Eastern Community College,Core CS,Healthcare,UnitedHealth Group
Kimberly N. Hughes,India,Top 100,Indian Institute of Advanced Technology,Cloud,Consulting,KPMG
Mateo U. Parker,USA,300+,Eastern Community College,Cloud,Healthcare,Merck
Alexander Z. Watson,UK,100-300,Northern State University,Cloud,Tech,NVIDIA
Nicole I. Chavez,Canada,300+,Northern Community College,Cloud,Other,Global Logistics
Diane Q. Howard,UK,100-300,Northern State University,Core CS,Healthcare,Pfizer
Jessica L. Johnson,India,100-300,Delhi Technology and Science,AI/ML,Manufacturing,Toyota
Justin J. Peterson,UK,300+,Imperial Higher Learning Center,Data Science,Finance,General Corp
Melissa Y. Moore,Canada,300+,Northern Community College,Cybersecurity,Consulting,Accenture
Michelle V. Torres,UK,100-300,Northern State University,Cloud,Finance,General Corp
Christopher J. Adams,USA,Top 100,Federal Research University,Data Science,Finance,General Corp
Matthew H. Phillips,India,300+,Technical Technology and Science,Data Science,Consulting,McKinsey & Company
Alexander F. Johnson,USA,100-300,Western State University,AI/ML,Finance,General Corp
Emma G. Alvarez,USA,Top 100,Federal Research University,AI/ML,Tech,Intel
Gregory P. Moore,India,100-300,Delhi Technology and Science,Core CS,Other,Non-Profit Org
Margaret L. Wright,India,100-300,Delhi Technology and Science,Data Science,Manufacturing,Caterpillar
Sarah K. Watson,Germany,Top 100,Technical Technical University of Excellence,Core CS,Consulting,Bain & Company
Kevin Y. Allen,Canada,300+,Northern Community College,Core CS,Other,Global Logistics
Daniel O. Moore,USA,100-300,Western State University,Data Science,Healthcare,Medtronic
Diane K. Reed,USA,100-300,Western State University,AI/ML,Consulting,Bain & Company
Barbara T. Morgan,India,100-300,Delhi Technology and Science,Core CS,Consulting,Deloitte
Michael M. Cox,India,100-300,Delhi Technology and Science,Cloud,Consulting,PwC
Amy E. Williams,UK,100-300,Northern State University,AI/ML,Manufacturing,Ford
Karen V. Collins,USA,300+,Eastern Community College,Cybersecurity,Manufacturing,Samsung
Margaret L. Hernandez,USA,Top 100,Federal Research University,Core CS,Healthcare,Mayo Clinic
Joseph X. Kim,India,300+,Technical Technology and Science,Data Science,Other,Local Startup
Anna A. Ramirez,USA,300+,Eastern Community College,Cloud,Tech,IBM
Justin S. Ortiz,Canada,300+,Northern Community College,Core CS,Consulting,Deloitte
Frank P. Mendoza,Germany,Top 100,Technical Technical University of Excellence,AI/ML,Manufacturing,BMW
Larry A. Johnson,India,100-300,Delhi Technology and Science,AI/ML,Healthcare,AstraZeneca
Jason T. Hall,India,Top 100,Indian Institute of Advanced Technology,Data Science,Tech,Oracle
Wei F. Davis,USA,300+,Eastern Community College,Data Science,Consulting,PwC
Anthony Y. Taylor,Germany,100-300,Frankfurt Applied Science University,Cloud,Healthcare,Roche
Barbara A. Scott,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Healthcare,Pfizer
Hans U. Cox,India,300+,Technical Technology and Science,Cybersecurity,Other,Standard Bank
Stephanie B. Alvarez,India,100-300,Delhi Technology and Science,AI/ML,Healthcare,Medtronic
William S. Scott,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Manufacturing,Boeing
Cynthia A. Nguyen,Canada,Top 100,Northern University of Excellence,AI/ML,Finance,General Corp
Greta V. Cruz,USA,300+,Eastern Community College,AI/ML,Consulting,PwC
Samuel Y. Ward,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Finance,General Corp
Ashley E. Ramos,India,100-300,Delhi Technology and Science,Cloud,Tech,Meta
Carl P. Parker,Germany,100-300,Frankfurt Applied Science University,Data Science,Other,Global Logistics
William V. Hall,USA,300+,Eastern Community College,Core CS,Other,Global Logistics
Carl I. Ramirez,USA,100-300,Western State University,AI/ML,Other,Educational Institution
David M. Hughes,India,100-300,Delhi Technology and Science,Core CS,Manufacturing,Samsung
Wei T. Sanchez,India,300+,Technical Technology and Science,Cybersecurity,Tech,Amazon
Yuki U. Lee,India,300+,Technical Technology and Science,Data Science,Manufacturing,Lockheed Martin
Jerry L. Taylor,India,300+,Technical Technology and Science,Cloud,Consulting,BCG
Nancy Q. Walker,India,300+,Technical Technology and Science,Data Science,Other,Non-Profit Org
Yuki Z. Garcia,India,100-300,Delhi Technology and Science,Data Science,Manufacturing,Caterpillar
Joseph A. Young,USA,Top 100,Federal Research University,Data Science,Finance,General Corp
Gary T. Cooper,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Healthcare,Medtronic
Robert K. Ramos,Germany,300+,Berlin Regional University,Cloud,Manufacturing,Samsung
Mark W. Brown,India,100-300,Delhi Technology and Science,Cybersecurity,Consulting,EY
Alexander L. Foster,Germany,100-300,Frankfurt Applied Science University,Core CS,Healthcare,Medtronic
Brandon R. Lewis,USA,Top 100,Federal Research University,Data Science,Consulting,Capgemini
Dorothy S. Ruiz,Germany,Top 100,Technical Technical University of Excellence,Core CS,Finance,General Corp
Christopher D. Watson,USA,100-300,Western State University,Core CS,Consulting,EY
Christopher K. Walker,UK,Top 100,Northern Research University,Cybersecurity,Other,Global Logistics
Sofia I. Gray,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Finance,General Corp
Benjamin T. Adams,UK,100-300,Northern State University,AI/ML,Other,Local Startup
Angela N. Campbell,USA,300+,Eastern Community College,Cloud,Healthcare,Sanofi
Timothy B. Howard,UK,Top 100,Northern Research University,Data Science,Healthcare,Mayo Clinic
Catherine A. Watson,USA,300+,Eastern Community College,AI/ML,Healthcare,Johnson & Johnson
Shirley Z. Hall,UK,100-300,Northern State University,Core CS,Consulting,PwC
Eric R. Adams,USA,100-300,Western State University,Cloud,Healthcare,Roche
Brenda A. Myers,Canada,Top 100,Northern University of Excellence,AI/ML,Tech,Tesla
Ashley D. Flores,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Consulting,Deloitte
Helen Y. Allen,Canada,300+,Northern Community College,Core CS,Consulting,Accenture
Jack G. Sanders,USA,100-300,Western State University,AI/ML,Finance,General Corp
Nicholas L. Parker,Germany,300+,Berlin Regional University,Data Science,Manufacturing,General Electric
Elizabeth M. Howard,UK,100-300,Northern State University,Core CS,Healthcare,Johnson & Johnson
Elizabeth Y. Parker,UK,300+,Imperial Higher Learning Center,Cloud,Finance,General Corp
Wei I. Kelly,UK,Top 100,Northern Research University,Cloud,Consulting,Bain & Company
Pamela N. Price,UK,300+,Imperial Higher Learning Center,AI/ML,Healthcare,Medtronic
Yuki F. Ortiz,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Healthcare,Medtronic
Amy S. Foster,Germany,300+,Berlin Regional University,Cloud,Manufacturing,Ford
Sandra D. Green,UK,100-300,Northern State University,Cloud,Manufacturing,Ford
Daniel K. Evans,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Finance,General Corp
Hiroshi I. Garcia,USA,300+,Eastern Community College,Cybersecurity,Consulting,Capgemini
Gregory I. Perez,USA,100-300,Western State University,Core CS,Other,Non-Profit Org
Catherine B. Brown,UK,100-300,Northern State University,Cloud,Other,Government Agency
William E. Nguyen,India,300+,Technical Technology and Science,Data Science,Consulting,Accenture
Emma P. Nguyen,Canada,Top 100,Northern University of Excellence,Cloud,Other,Local Startup
Melissa B. James,UK,100-300,Northern State University,Data Science,Manufacturing,Siemens
Jerry N. Ross,Canada,300+,Northern Community College,Cloud,Other,Educational Institution
Mateo J. Anderson,UK,300+,Imperial Higher Learning Center,AI/ML,Tech,Google
Nicholas F. Miller,Canada,Top 100,Northern University of Excellence,AI/ML,Consulting,Accenture
Mateo Q. Ruiz,India,300+,Technical Technology and Science,Core CS,Healthcare,Johnson & Johnson
Jacob C. Martin,India,Top 100,Indian Institute of Advanced Technology,Cloud,Manufacturing,BMW
Anna D. Evans,USA,300+,Eastern Community College,Core CS,Finance,General Corp
Richard K. Phillips,UK,100-300,Northern State University,Cybersecurity,Finance,General Corp
Anna F. Lee,India,100-300,Delhi Technology and Science,Core CS,Other,Non-Profit Org
Sandra K. Gutierrez,India,Top 100,Indian Institute of Advanced Technology,Cloud,Consulting,EY
Stephanie Q. Jackson,UK,300+,Imperial Higher Learning Center,Cloud,Tech,Intel
Sharon Z. Baker,UK,100-300,Northern State University,Core CS,Tech,IBM
Kimberly Z. Long,USA,300+,Eastern Community College,Cybersecurity,Finance,General Corp
Helen G. Mitchell,India,100-300,Delhi Technology and Science,AI/ML,Tech,NVIDIA
Shirley H. Phillips,Canada,300+,Northern Community College,Data Science,Finance,General Corp
Helen R. Castillo,UK,300+,Imperial Higher Learning Center,AI/ML,Healthcare,AstraZeneca
Arjun U. Hernandez,UK,300+,Imperial Higher Learning Center,Cloud,Healthcare,Mayo Clinic
Elizabeth E. Martinez,UK,300+,Imperial Higher Learning Center,Data Science,Other,Educational Institution
Jack Q. Patel,UK,100-300,Northern State University,Cybersecurity,Other,Educational Institution
Diane K. Nelson,India,100-300,Delhi Technology and Science,Cloud,Tech,Adobe
Kevin O. Lewis,Canada,300+,Northern Community College,AI/ML,Consulting,EY
Ananya X. Mendoza,USA,300+,Eastern Community College,Data Science,Consulting,Capgemini
Laura T. Hernandez,Germany,100-300,Frankfurt Applied Science University,Data Science,Consulting,PwC
Laura O. Cruz,India,100-300,Delhi Technology and Science,Cybersecurity,Manufacturing,Caterpillar
Margaret F. Miller,India,300+,Technical Technology and Science,AI/ML,Healthcare,Roche
Samuel J. Mendoza,Germany,300+,Berlin Regional University,Data Science,Manufacturing,General Electric
Daniel K. Collins,Germany,Top 100,Technical Technical University of Excellence,Data Science,Manufacturing,Toyota
Pamela Q. Long,UK,Top 100,Northern Research University,Cybersecurity,Consulting,Deloitte
Arjun L. Gutierrez,Canada,300+,Northern Community College,Cloud,Manufacturing,Ford
Raymond K. Ross,India,100-300,Delhi Technology and Science,Cloud,Consulting,Capgemini
Nicholas Z. Long,India,300+,Technical Technology and Science,Cybersecurity,Consulting,KPMG
Anna H. Perez,USA,300+,Eastern Community College,Core CS,Other,Non-Profit Org
Cynthia R. Martin,Germany,300+,Berlin Regional University,Cloud,Tech,Oracle
Helen W. Murphy,Germany,300+,Berlin Regional University,Data Science,Healthcare,Mayo Clinic
Laura B. Ruiz,India,100-300,Delhi Technology and Science,Core CS,Consulting,Accenture
Ashley B. Richardson,Germany,Top 100,Technical Technical University of Excellence,Cloud,Manufacturing,Ford
Emma J. Foster,UK,100-300,Northern State University,Cybersecurity,Tech,IBM
Rebecca M. Martin,USA,300+,Eastern Community College,AI/ML,Consulting,Oliver Wyman
Nicholas I. Rogers,India,100-300,Delhi Technology and Science,Core CS,Tech,Google
Amy N. Smith,USA,100-300,Western State University,Cloud,Finance,General Corp
Matthew X. Edwards,UK,300+,Imperial Higher Learning Center,Cloud,Other,Retail Corp
Jeffrey A. Ramirez,USA,Top 100,Federal Research University,Core CS,Consulting,Capgemini
Thomas O. Myers,Germany,300+,Berlin Regional University,Cybersecurity,Healthcare,Merck
Anthony F. Evans,India,100-300,Delhi Technology and Science,Cybersecurity,Tech,IBM
Charles Y. Hughes,USA,100-300,Western State University,Data Science,Other,Global Logistics
Matthew H. Rivera,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Healthcare,Sanofi
John A. Diaz,India,100-300,Delhi Technology and Science,AI/ML,Other,Educational Institution
Mary C. Adams,USA,300+,Eastern Community College,AI/ML,Tech,Tesla
Patricia J. Hughes,India,300+,Technical Technology and Science,Cloud,Healthcare,UnitedHealth Group
Gary O. Foster,USA,100-300,Western State University,Cloud,Other,Local Startup
Jack E. Garcia,USA,300+,Eastern Community College,Cybersecurity,Manufacturing,Siemens
Laura J. Young,Germany,300+,Berlin Regional University,Cybersecurity,Manufacturing,General Electric
Anna P. Williams,USA,100-300,Western State University,Cloud,Manufacturing,Caterpillar
Deborah D. Morales,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Consulting,Deloitte
Frank F. Young,Germany,300+,Berlin Regional University,Data Science,Finance,General Corp
Nancy Q. Howard,Canada,Top 100,Northern University of Excellence,Cloud,Healthcare,Mayo Clinic
Stephanie O. Ward,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Other,Local Startup
Timothy Y. Williams,UK,100-300,Northern State University,Cloud,Consulting,Oliver Wyman
Carl N. Rogers,Canada,300+,Northern Community College,Cloud,Finance,General Corp
Brandon T. Evans,USA,Top 100,Federal Research University,Cybersecurity,Finance,General Corp
Justin G. Morales,India,100-300,Delhi Technology and Science,Cloud,Finance,General Corp
Mateo R. Turner,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Other,Non-Profit Org
Samuel W. Murphy,Germany,Top 100,Technical Technical University of Excellence,Core CS,Consulting,Bain & Company
Helen Q. Taylor,Germany,100-300,Frankfurt Applied Science University,Core CS,Manufacturing,Siemens
Mary M. Stewart,India,100-300,Delhi Technology and Science,AI/ML,Other,Non-Profit Org
Raymond L. Morris,Canada,300+,Northern Community College,AI/ML,Manufacturing,Ford
Betty B. Campbell,UK,100-300,Northern State University,Data Science,Other,Government Agency
Karen Y. Flores,USA,100-300,Western State University,Cybersecurity,Tech,Google
Thomas Z. Clark,Germany,300+,Berlin Regional University,AI/ML,Finance,General Corp
Jennifer H. Smith,USA,100-300,Western State University,Core CS,Manufacturing,Toyota
Timothy Y. Davis,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Consulting,KPMG
Carol H. Castillo,UK,100-300,Northern State University,Cybersecurity,Healthcare,Merck
Kathleen S. Hall,Germany,300+,Berlin Regional University,AI/ML,Manufacturing,Siemens
Helen D. Roberts,Canada,Top 100,Northern University of Excellence,Core CS,Healthcare,Medtronic
Stephanie G. Patel,UK,300+,Imperial Higher Learning Center,Cloud,Consulting,McKinsey & Company
Karen H. Reed,Germany,300+,Berlin Regional University,Cybersecurity,Finance,General Corp
Sarah M. Phillips,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Healthcare,Merck
Lisa K. Reed,USA,100-300,Western State University,Core CS,Other,Standard Bank
Justin F. Turner,India,300+,Technical Technology and Science,Cybersecurity,Healthcare,Medtronic
Betty I. Martinez,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Consulting,McKinsey & Company
Frank C. Gomez,UK,100-300,Northern State University,Cloud,Finance,General Corp
Kathleen O. Evans,UK,300+,Imperial Higher Learning Center,Core CS,Manufacturing,Honda
Nicholas J. Hill,India,100-300,Delhi Technology and Science,Data Science,Manufacturing,Lockheed Martin
Jack N. Sanchez,India,100-300,Delhi Technology and Science,Data Science,Other,Retail Corp
Arjun F. Cruz,Canada,Top 100,Northern University of Excellence,Cybersecurity,Finance,General Corp
Brenda Q. Wright,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Finance,General Corp
Gary E. Johnson,Germany,100-300,Frankfurt Applied Science University,Core CS,Other,Global Logistics
Angela G. Gray,India,Top 100,Indian Institute of Advanced Technology,Data Science,Consulting,PwC
Julie E. Cruz,Germany,100-300,Frankfurt Applied Science University,Data Science,Manufacturing,Siemens
Jonathan N. Robinson,USA,100-300,Western State University,Core CS,Other,Retail Corp
Richard P. Phillips,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Manufacturing,BMW
Ashley D. Diaz,USA,Top 100,Federal Research University,Cloud,Other,Non-Profit Org
Donna Z. Robinson,UK,Top 100,Northern Research University,Cloud,Tech,Microsoft
Donna F. Davis,India,100-300,Delhi Technology and Science,Core CS,Other,Educational Institution
Jeffrey B. Jimenez,UK,Top 100,Northern Research University,Data Science,Other,Government Agency
Laura S. Perez,USA,300+,Eastern Community College,AI/ML,Healthcare,AstraZeneca
Catherine Y. Morgan,UK,100-300,Northern State University,Data Science,Tech,Oracle
Jacob R. Johnson,USA,Top 100,Federal Research University,Cybersecurity,Consulting,Accenture
Anna N. Long,Canada,Top 100,Northern University of Excellence,Core CS,Tech,Google
Anna N. Moore,USA,300+,Eastern Community College,Core CS,Finance,General Corp
Donna Q. Roberts,Canada,Top 100,Northern University of Excellence,Data Science,Other,Non-Profit Org
Nicole T. Phillips,UK,300+,Imperial Higher Learning Center,Cybersecurity,Other,Non-Profit Org
Betty S. Phillips,USA,100-300,Western State University,AI/ML,Other,Educational Institution
Melissa P. Scott,Canada,100-300,Great Lakes Polytechnic Institute,AI/ML,Healthcare,Pfizer
Nancy P. Harris,USA,Top 100,Federal Research University,Cloud,Other,Standard Bank
Elizabeth P. Cruz,Germany,100-300,Frankfurt Applied Science University,Core CS,Healthcare,Roche
Julie A. Gomez,Germany,100-300,Frankfurt Applied Science University,Cybersecurity,Consulting,McKinsey & Company
Brian T. Ward,UK,300+,Imperial Higher Learning Center,Cloud,Consulting,Accenture
Edward E. Diaz,Germany,300+,Berlin Regional University,Cybersecurity,Healthcare,Novartis
Eric M. Anderson,India,100-300,Delhi Technology and Science,Core CS,Consulting,BCG
Helen H. Brooks,Canada,300+,Northern Community College,Cybersecurity,Healthcare,UnitedHealth Group
Karen Q. Bailey,India,Top 100,Indian Institute of Advanced Technology,Cloud,Healthcare,UnitedHealth Group
Rebecca Q. Hughes,Germany,100-300,Frankfurt Applied Science University,Data Science,Manufacturing,Samsung
Robert M. Edwards,UK,300+,Imperial Higher Learning Center,Data Science,Finance,General Corp
Sandra X. Gutierrez,India,100-300,Delhi Technology and Science,Data Science,Healthcare,Novartis
Anthony X. Collins,UK,100-300,Northern State University,Cloud,Tech,Microsoft
Catherine B. Flores,USA,100-300,Western State University,Core CS,Other,Standard Bank
Brandon B. Evans,India,Top 100,Indian Institute of Advanced Technology,Core CS,Healthcare,Pfizer
Michelle E. Jimenez,USA,Top 100,Federal Research University,Data Science,Other,Retail Corp
Ryan W. Torres,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Other,Non-Profit Org
Carl R. Richardson,Canada,Top 100,Northern University of Excellence,Core CS,Manufacturing,Samsung
Alice T. Chavez,UK,Top 100,Northern Research University,Cloud,Other,Local Startup
Lisa D. Mitchell,USA,Top 100,Federal Research University,Core CS,Healthcare,Roche
Carl K. Reyes,Germany,300+,Berlin Regional University,Cloud,Healthcare,Pfizer
Catherine F. Hill,India,Top 100,Indian Institute of Advanced Technology,Data Science,Manufacturing,Caterpillar
Jennifer S. Miller,USA,100-300,Western State University,Cloud,Finance,General Corp
Ronald X. Ramos,India,Top 100,Indian Institute of Advanced Technology,Cybersecurity,Other,Government Agency
Anna P. Hill,India,100-300,Delhi Technology and Science,Cloud,Consulting,Bain & Company
Ryan B. Smith,India,300+,Technical Technology and Science,Cybersecurity,Manufacturing,Ford
Lisa D. King,USA,Top 100,Federal Research University,Core CS,Other,Non-Profit Org
Susan W. Davis,USA,300+,Eastern Community College,Data Science,Consulting,EY
John M. Murphy,India,300+,Technical Technology and Science,AI/ML,Other,Government Agency
Edward P. Davis,Germany,300+,Berlin Regional University,Cybersecurity,Consulting,Bain & Company
Richard Q. Hernandez,UK,300+,Imperial Higher Learning Center,Cybersecurity,Tech,IBM
Kathleen U. Campbell,India,300+,Technical Technology and Science,AI/ML,Other,Non-Profit Org
Stephanie O. Morales,Germany,Top 100,Technical Technical University of Excellence,Core CS,Healthcare,Roche
Amanda P. Hughes,UK,300+,Imperial Higher Learning Center,Data Science,Other,Retail Corp
Amy S. Robinson,India,100-300,Delhi Technology and Science,AI/ML,Consulting,Bain & Company
Kimberly M. Turner,UK,100-300,Northern State University,Cybersecurity,Consulting,PwC
Carl K. Thomas,India,Top 100,Indian Institute of Advanced Technology,Data Science,Consulting,Capgemini
Anthony Z. Sanchez,USA,Top 100,Federal Research University,Data Science,Other,Retail Corp
Timothy N. Jackson,India,300+,Technical Technology and Science,AI/ML,Tech,Google
Thomas I. Bennett,India,300+,Technical Technology and Science,Data Science,Other,Non-Profit Org
Hans Y. Bennett,India,100-300,Delhi Technology and Science,Cloud,Manufacturing,Ford
Scott N. Morales,India,Top 100,Indian Institute of Advanced Technology,Data Science,Consulting,McKinsey & Company
Ashley S. Thomas,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Finance,General Corp
Barbara D. Cook,Canada,Top 100,Northern University of Excellence,AI/ML,Other,Global Logistics
David C. Baker,Germany,Top 100,Technical Technical University of Excellence,Cloud,Tech,Salesforce
Brenda H. Ortiz,Germany,100-300,Frankfurt Applied Science University,Data Science,Finance,General Corp
Diane P. Smith,USA,300+,Eastern Community College,Cloud,Manufacturing,General Electric
Frank S. Anderson,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Kimberly S. Foster,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Healthcare,Novartis
Gregory A. Murphy,UK,300+,Imperial Higher Learning Center,Cloud,Finance,General Corp
Mark M. Garcia,India,100-300,Delhi Technology and Science,AI/ML,Finance,General Corp
Raymond E. Bennett,USA,300+,Eastern Community College,Core CS,Finance,General Corp
Kathleen E. Hughes,USA,100-300,Western State University,Cybersecurity,Tech,Amazon
Linda Y. Sanders,UK,100-300,Northern State University,Core CS,Manufacturing,Boeing
Betty I. Ross,USA,Top 100,Federal Research University,Cloud,Healthcare,Novartis
Deborah P. Richardson,India,300+,Technical Technology and Science,AI/ML,Manufacturing,General Electric
Dorothy R. Jimenez,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Finance,General Corp
Michelle P. Roberts,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Finance,General Corp
Tyler D. Nguyen,Germany,100-300,Frankfurt Applied Science University,Core CS,Other,Retail Corp
Joseph F. Morales,USA,100-300,Western State University,Cloud,Finance,General Corp
Donna R. Moore,India,300+,Technical Technology and Science,Cybersecurity,Other,Government Agency
Tyler W. Jimenez,UK,Top 100,Northern Research University,Cybersecurity,Consulting,PwC
Alexander E. Rodriguez,UK,300+,Imperial Higher Learning Center,Cloud,Manufacturing,Ford
Cynthia P. Allen,India,Top 100,Indian Institute of Advanced Technology,Cloud,Healthcare,Mayo Clinic
Nicholas A. Mitchell,India,100-300,Delhi Technology and Science,Cybersecurity,Finance,General Corp
Melissa D. Moore,UK,300+,Imperial Higher Learning Center,Cybersecurity,Healthcare,Sanofi
Charles S. Wright,USA,100-300,Western State University,Cloud,Tech,Adobe
Mateo J. Myers,Germany,300+,Berlin Regional University,Data Science,Consulting,Deloitte
Barbara A. Nelson,Germany,300+,Berlin Regional University,Cybersecurity,Manufacturing,Boeing
Mary X. Sanchez,Germany,300+,Berlin Regional University,Data Science,Manufacturing,Boeing
James V. Cox,India,300+,Technical Technology and Science,Data Science,Other,Global Logistics
Stephanie Q. Harris,UK,100-300,Northern State University,Core CS,Healthcare,UnitedHealth Group
Patrick S. Sanders,UK,100-300,Northern State University,Cybersecurity,Finance,General Corp
Donna E. Diaz,UK,100-300,Northern State University,Cybersecurity,Consulting,BCG
Lisa I. Lee,UK,100-300,Northern State University,Cybersecurity,Healthcare,Novartis
John J. Nguyen,UK,100-300,Northern State University,Cybersecurity,Other,Educational Institution
Yuki H. Myers,Canada,300+,Northern Community College,Core CS,Tech,Apple
Eric B. Martin,India,100-300,Delhi Technology and Science,Core CS,Healthcare,Medtronic
Anthony N. Collins,India,100-300,Delhi Technology and Science,AI/ML,Other,Local Startup
Scott P. Gray,Canada,300+,Northern Community College,Core CS,Finance,General Corp
Amanda R. Hernandez,Germany,Top 100,Technical Technical University of Excellence,Cybersecurity,Healthcare,Roche
Catherine Q. Lee,USA,Top 100,Federal Research University,Data Science,Manufacturing,Samsung
Daniel X. Walker,India,300+,Technical Technology and Science,Cybersecurity,Finance,General Corp
Jennifer L. Carter,India,Top 100,Indian Institute of Advanced Technology,Cybersecurity,Healthcare,UnitedHealth Group
Nancy P. Taylor,Canada,300+,Northern Community College,Data Science,Healthcare,Novartis
Donna U. Robinson,India,Top 100,Indian Institute of Advanced Technology,Data Science,Healthcare,Medtronic
Brandon S. Harris,India,100-300,Delhi Technology and Science,Cloud,Manufacturing,Toyota
Emma G. Sanders,Germany,300+,Berlin Regional University,Core CS,Manufacturing,Samsung
Li F. Myers,Canada,300+,Northern Community College,AI/ML,Healthcare,Mayo Clinic
Nancy O. Smith,India,300+,Technical Technology and Science,Core CS,Other,Standard Bank
Sarah G. Gutierrez,UK,100-300,Northern State University,Core CS,Consulting,Bain & Company
Stephanie C. Jones,Canada,300+,Northern Community College,AI/ML,Tech,Salesforce
William P. Brown,Germany,Top 100,Technical Technical University of Excellence,Data Science,Consulting,EY
Anthony J. Martin,USA,300+,Eastern Community College,Data Science,Other,Non-Profit Org
Emma B. Campbell,India,300+,Technical Technology and Science,Cybersecurity,Tech,Oracle
Larry F. Campbell,UK,300+,Imperial Higher Learning Center,AI/ML,Healthcare,AstraZeneca
Anthony E. Gray,UK,100-300,Northern State University,Cybersecurity,Finance,General Corp
Angela P. Nelson,USA,Top 100,Federal Research University,Cloud,Other,Educational Institution
William E. Robinson,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Manufacturing,Boeing
Linda T. Cruz,Germany,100-300,Frankfurt Applied Science University,Cloud,Consulting,KPMG
Kimberly N. Torres,India,100-300,Delhi Technology and Science,Core CS,Manufacturing,Boeing
Justin O. Morales,India,100-300,Delhi Technology and Science,Core CS,Other,Standard Bank
Hans X. Ruiz,India,Top 100,Indian Institute of Advanced Technology,AI/ML,Manufacturing,General Electric
Susan P. Castillo,UK,300+,Imperial Higher Learning Center,AI/ML,Manufacturing,General Electric
Li D. Green,Canada,300+,Northern Community College,Data Science,Tech,Salesforce
Rebecca Z. Ward,USA,300+,Eastern Community College,AI/ML,Finance,General Corp
Tyler G. King,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Healthcare,Roche
Mark R. Phillips,Germany,100-300,Frankfurt Applied Science University,Cloud,Consulting,McKinsey & Company
